version	locus	quality	PC	mode	minus_log10_pvalue_corr	beta	precision	recall	precision_SC	recall_SC	PC_abundance	locus_abundance	PC_freq	TP	FN	TN	FP	specificity	accuracy	F1_score	MCC	TP_SC	FN_SC	TN_SC	FP_SC	specificity_SC	accuracy_SC	F1_score_SC	MCC_SC	pvalue	n_PC_tested	pvalue_corr	minus_log10_pvalue	precision_CI5_LOWER	precision_MEDIAN	precision_CI95_UPPER	recall_CI5_LOWER	recall_MEDIAN	recall_CI95_UPPER	precision_SC_CI5_LOWER	precision_SC_MEDIAN	precision_SC_CI95_UPPER	recall_SC_CI5_LOWER	recall_SC_MEDIAN	recall_SC_CI95_UPPER	F1_score_num
PCI80C80	KL39	lq	PC0554	lasso	inf	13.1	0.66	0.52	0.4	0.15	32	40	0.0127	21.0	19.0	2466.0	11.0	1.0	0.99	0.58	0.58	2.0	11.0	533.0	3.0	0.99	0.97	0.22	0.24	0.0	2240	0.0	inf	0.568	0.63	0.751	0.459	0.525	0.601	0.25	0.4	0.509	0.1	0.18	0.252	0.58
PCI00C50	KL47	lq	PC1033	lasso	inf	2.03	1.0	0.33	1.0	0.36	5	15	0.00199	5.0	10.0	2502.0	0.0	1.0	1.0	0.5	0.58	4.0	7.0	538.0	0.0	1.0	0.99	0.53	0.6	0.0	1207	0.0	inf	1.0	1.0	1.0	0.12	0.3	0.44	1.0	1.0	1.0	0.168	0.295	0.504	0.5
PCI00C80	KL47	lq	PC1226	lasso	inf	1.24	1.0	0.33	1.0	0.36	5	15	0.00199	5.0	10.0	2502.0	0.0	1.0	1.0	0.5	0.58	4.0	7.0	538.0	0.0	1.0	0.99	0.53	0.6	0.0	1481	0.0	inf	1.0	1.0	1.0	0.138	0.3	0.44	1.0	1.0	1.0	0.168	0.355	0.43	0.5
PCI50C50	KL47	lq	PC1259	lasso	inf	0.345	1.0	0.33	1.0	0.36	5	15	0.00199	5.0	10.0	2502.0	0.0	1.0	1.0	0.5	0.58	4.0	7.0	538.0	0.0	1.0	0.99	0.53	0.6	0.0	1688	0.0	inf	1.0	1.0	1.0	0.248	0.36	0.5	1.0	1.0	1.0	0.218	0.38	0.5	0.5
PCI50C80	KL47	lq	PC1473	lasso	inf	0.344	1.0	0.33	1.0	0.36	5	15	0.00199	5.0	10.0	2502.0	0.0	1.0	1.0	0.5	0.58	4.0	7.0	538.0	0.0	1.0	0.99	0.53	0.6	0.0	1834	0.0	inf	1.0	1.0	1.0	0.196	0.345	0.503	1.0	1.0	1.0	0.244	0.4	0.505	0.5
PCI80C50	KL47	lq	PC1641	lasso	inf	0.344	1.0	0.33	1.0	0.36	5	15	0.00199	5.0	10.0	2502.0	0.0	1.0	1.0	0.5	0.58	4.0	7.0	538.0	0.0	1.0	0.99	0.53	0.6	0.0	2166	0.0	inf	1.0	1.0	1.0	0.138	0.32	0.5	1.0	1.0	1.0	0.196	0.355	0.5	0.5
PCI80C80	KL47	lq	PC1807	lasso	inf	0.344	1.0	0.33	1.0	0.36	5	15	0.00199	5.0	10.0	2502.0	0.0	1.0	1.0	0.5	0.58	4.0	7.0	538.0	0.0	1.0	0.99	0.53	0.6	0.0	2240	0.0	inf	1.0	1.0	1.0	0.27	0.37	0.5	1.0	1.0	1.0	0.324	0.4	0.505	0.5
PCI00C50	KL48	lq	PC0873	lasso	inf	10.3	0.6	0.25	0.67	0.2	5	12	0.00199	3.0	9.0	2503.0	2.0	1.0	1.0	0.35	0.39	2.0	8.0	538.0	1.0	1.0	0.98	0.31	0.36	0.0	1207	0.0	inf	0.5	0.67	1.0	0.168	0.25	0.4	0.492	0.67	1.0	0.14	0.25	0.334	0.35
PCI00C80	KL48	lq	PC1307	lasso			1.0	0.25	1.0	0.2	3	12	0.00119	3.0	9.0	2505.0	0.0	1.0	1.0	0.4	0.5	2.0	8.0	539.0	0.0	1.0	0.99	0.33	0.44		1481			1.0	1.0	1.0	0.14	0.29	0.33	1.0	1.0	1.0	0.168	0.25	0.292	0.4
PCI50C50	KL48	lq	PC1550	lasso			1.0	0.25	1.0	0.2	3	12	0.00119	3.0	9.0	2505.0	0.0	1.0	1.0	0.4	0.5	2.0	8.0	539.0	0.0	1.0	0.99	0.33	0.44		1688			1.0	1.0	1.0	0.12	0.25	0.385	1.0	1.0	1.0	0.138	0.25	0.33	0.4
PCI50C80	KL48	lq	PC1695	lasso			1.0	0.25	1.0	0.2	3	12	0.00119	3.0	9.0	2505.0	0.0	1.0	1.0	0.4	0.5	2.0	8.0	539.0	0.0	1.0	0.99	0.33	0.44		1834			1.0	1.0	1.0	0.14	0.25	0.34	1.0	1.0	1.0	0.14	0.25	0.294	0.4
PCI80C50	KL48	lq	PC1996	lasso	inf	2.08	1.0	0.25	1.0	0.2	3	12	0.00119	3.0	9.0	2505.0	0.0	1.0	1.0	0.4	0.5	2.0	8.0	539.0	0.0	1.0	0.99	0.33	0.44	0.0	2166	0.0	inf	1.0	1.0	1.0	0.14	0.26	0.391	1.0	1.0	1.0	0.14	0.25	0.301	0.4
PCI80C80	KL48	lq	PC2085	lasso	inf	2.68	1.0	0.25	1.0	0.3	3	12	0.00119	3.0	9.0	2505.0	0.0	1.0	1.0	0.4	0.5	3.0	7.0	539.0	0.0	1.0	0.99	0.46	0.54	0.0	2240	0.0	inf	1.0	1.0	1.0	0.11	0.17	0.39	1.0	1.0	1.0	0.12	0.2	0.39	0.4
PCI00C50	KL55	lq	PC0402	lasso	inf	5.62	0.83	0.63	0.81	0.76	23	30	0.00914	19.0	11.0	2483.0	4.0	1.0	0.99	0.72	0.72	13.0	4.0	529.0	3.0	0.99	0.99	0.78	0.78	0.0	1207	0.0	inf	0.784	0.83	0.931	0.497	0.62	0.691	0.748	0.82	0.92	0.579	0.705	0.85	0.72
PCI00C80	KL55	lq	PC0449	lasso	inf	5.79	0.83	0.63	0.81	0.76	23	30	0.00914	19.0	11.0	2483.0	4.0	1.0	0.99	0.72	0.72	13.0	4.0	529.0	3.0	0.99	0.99	0.78	0.78	0.0	1481	0.0	inf	0.75	0.835	0.921	0.538	0.645	0.714	0.728	0.825	0.901	0.578	0.72	0.83	0.72
PCI50C50	KL55	lq	PC0519	lasso	inf	6.85	0.83	0.63	0.81	0.76	23	30	0.00914	19.0	11.0	2483.0	4.0	1.0	0.99	0.72	0.72	13.0	4.0	529.0	3.0	0.99	0.99	0.78	0.78	0.0	1688	0.0	inf	0.67	0.815	0.93	0.495	0.615	0.741	0.67	0.82	0.911	0.566	0.7	0.793	0.72
PCI50C80	KL55	lq	PC0526	lasso	inf	6.68	0.83	0.63	0.81	0.76	23	30	0.00914	19.0	11.0	2483.0	4.0	1.0	0.99	0.72	0.72	13.0	4.0	529.0	3.0	0.99	0.99	0.78	0.78	0.0	1834	0.0	inf	0.689	0.795	0.882	0.557	0.64	0.71	0.67	0.785	0.891	0.6	0.72	0.791	0.72
PCI80C50	KL55	lq	PC0808	lasso	inf	6.59	0.83	0.5	0.77	0.59	18	30	0.00715	15.0	15.0	2484.0	3.0	1.0	0.99	0.62	0.64	10.0	7.0	529.0	3.0	0.99	0.98	0.67	0.66	0.0	2166	0.0	inf	0.73	0.84	0.931	0.378	0.475	0.712	0.668	0.82	0.91	0.379	0.54	0.773	0.62
PCI80C80	KL55	lq	PC0812	lasso	inf	6.6	0.83	0.5	0.77	0.59	18	30	0.00715	15.0	15.0	2484.0	3.0	1.0	0.99	0.62	0.64	10.0	7.0	529.0	3.0	0.99	0.98	0.67	0.66	0.0	2240	0.0	inf	0.727	0.82	0.911	0.414	0.525	0.631	0.698	0.765	0.9	0.419	0.6	0.643	0.62
PCI00C50	KL57	lq	PC0333	lasso			0.15	0.42	0.18	0.36	34	12	0.0135	5.0	7.0	2476.0	29.0	0.99	0.99	0.22	0.24	4.0	7.0	520.0	18.0	0.97	0.95	0.24	0.24		1207			0.08	0.17	0.21	0.294	0.435	0.572	0.118	0.195	0.253	0.294	0.43	0.57	0.22
PCI00C80	KL57	lq	PC0441	lasso			0.17	0.42	0.18	0.36	30	12	0.0119	5.0	7.0	2480.0	25.0	0.99	0.99	0.24	0.26	4.0	7.0	520.0	18.0	0.97	0.95	0.24	0.24		1481			0.098	0.155	0.221	0.288	0.4	0.601	0.08	0.19	0.242	0.248	0.38	0.504	0.24
PCI50C50	KL57	lq	PC0835	lasso	inf	3.41	0.5	0.42	0.44	0.36	10	12	0.00397	5.0	7.0	2500.0	5.0	1.0	1.0	0.46	0.45	4.0	7.0	533.0	5.0	0.99	0.98	0.4	0.39	0.0	1688	0.0	inf	0.288	0.5	0.622	0.219	0.415	0.562	0.288	0.5	0.6	0.219	0.39	0.5	0.46
PCI50C80	KL57	lq	PC0722	lasso	inf	3.63	0.29	0.33	0.33	0.27	14	12	0.00556	4.0	8.0	2495.0	10.0	1.0	0.99	0.31	0.31	3.0	8.0	532.0	6.0	0.99	0.97	0.3	0.29	0.0	1834	0.0	inf	0.1	0.235	0.334	0.168	0.27	0.386	0.14	0.29	0.405	0.168	0.27	0.383	0.31
PCI80C50	KL57	lq	PC1646	lasso	inf	1.86	0.8	0.33	1.0	0.27	5	12	0.00199	4.0	8.0	2504.0	1.0	1.0	1.0	0.47	0.52	3.0	8.0	538.0	0.0	1.0	0.99	0.43	0.52	0.0	2166	0.0	inf	0.5	0.75	1.0	0.139	0.315	0.442	0.5	1.0	1.0	0.139	0.295	0.439	0.47
PCI80C80	KL57	lq	PC1677	lasso	inf	1.86	0.8	0.33	1.0	0.27	5	12	0.00199	4.0	8.0	2504.0	1.0	1.0	1.0	0.47	0.52	3.0	8.0	538.0	0.0	1.0	0.99	0.43	0.52	0.0	2240	0.0	inf	0.662	0.8	1.0	0.196	0.33	0.504	0.662	1.0	1.0	0.196	0.31	0.5	0.47
PCI00C50	KL6	lq	PC0596	lasso	inf	4.36	0.75	0.41	0.78	0.39	12	22	0.00477	9.0	13.0	2492.0	3.0	1.0	0.99	0.53	0.55	7.0	11.0	529.0	2.0	1.0	0.98	0.52	0.54	0.0	1207	0.0	inf	0.617	0.745	0.861	0.329	0.42	0.542	0.67	0.71	0.861	0.33	0.4	0.507	0.53
PCI00C80	KL6	lq	PC1157	lasso	inf	5.12	1.0	0.23	1.0	0.22	5	22	0.00199	5.0	17.0	2495.0	0.0	1.0	0.99	0.37	0.48	4.0	14.0	531.0	0.0	1.0	0.97	0.36	0.47	0.0	1481	0.0	inf	1.0	1.0	1.0	0.118	0.25	0.33	1.0	1.0	1.0	0.119	0.23	0.303	0.37
PCI50C50	KL6	lq	PC0404	lasso	inf	5.39	0.54	0.91	0.61	0.94	37	22	0.0147	20.0	2.0	2478.0	17.0	0.99	0.99	0.68	0.7	17.0	1.0	520.0	11.0	0.98	0.98	0.74	0.75	0.0	1688	0.0	inf	0.43	0.525	0.614	0.819	0.88	1.0	0.468	0.555	0.672	0.8	0.92	1.0	0.68
PCI50C80	KL6	lq	PC0547	lasso	inf	13.1	0.48	0.59	0.57	0.67	27	22	0.0107	13.0	9.0	2481.0	14.0	0.99	0.99	0.53	0.53	12.0	6.0	522.0	9.0	0.98	0.97	0.62	0.6	0.0	1834	0.0	inf	0.358	0.47	0.582	0.399	0.59	0.69	0.33	0.515	0.621	0.492	0.63	0.77	0.53
PCI80C50	KL6	lq	PC0658	lasso	inf	4.69	0.52	0.59	0.63	0.67	25	22	0.00993	13.0	9.0	2483.0	12.0	1.0	0.99	0.55	0.55	12.0	6.0	524.0	7.0	0.99	0.98	0.65	0.64	0.0	2166	0.0	inf	0.378	0.53	0.651	0.494	0.6	0.691	0.449	0.63	0.71	0.55	0.645	0.781	0.55
PCI80C80	KL6	lq	PC0656	lasso	inf	4.61	0.52	0.59	0.63	0.67	25	22	0.00993	13.0	9.0	2483.0	12.0	1.0	0.99	0.55	0.55	12.0	6.0	524.0	7.0	0.99	0.98	0.65	0.64	0.0	2240	0.0	inf	0.457	0.53	0.651	0.5	0.585	0.69	0.528	0.61	0.732	0.54	0.67	0.753	0.55
PCI00C50	KL60	lq	PC0656	lasso	inf	4.76	0.36	0.27	0.67	0.4	11	15	0.00437	4.0	11.0	2495.0	7.0	1.0	0.99	0.31	0.31	4.0	6.0	537.0	2.0	1.0	0.99	0.5	0.51	0.0	1207	0.0	inf	0.114	0.345	0.504	0.104	0.28	0.402	0.314	0.55	0.8	0.133	0.365	0.504	0.31
PCI00C80	KL60	lq	PC0501	lasso	inf	0.792	0.37	0.47	0.44	0.4	19	15	0.00755	7.0	8.0	2490.0	12.0	1.0	0.99	0.41	0.41	4.0	6.0	534.0	5.0	0.99	0.98	0.42	0.41	0.0	1481	0.0	inf	0.177	0.38	0.5	0.284	0.45	0.566	0.286	0.5	0.604	0.246	0.435	0.67	0.41
PCI50C50	KL60	lq	PC0464	lasso	inf	11.7	0.44	0.8	0.58	0.7	27	15	0.0107	12.0	3.0	2487.0	15.0	0.99	0.99	0.57	0.59	7.0	3.0	534.0	5.0	0.99	0.99	0.63	0.63	0.0	1688	0.0	inf	0.347	0.45	0.537	0.729	0.8	0.915	0.425	0.58	0.672	0.667	0.75	0.886	0.57
PCI50C80	KL60	lq	PC0744	lasso	inf	3.85	0.64	0.47	0.57	0.4	11	15	0.00437	7.0	8.0	2498.0	4.0	1.0	1.0	0.54	0.54	4.0	6.0	536.0	3.0	0.99	0.98	0.47	0.47	0.0	1834	0.0	inf	0.4	0.67	0.8	0.29	0.5	0.7	0.326	0.6	1.0	0.198	0.465	0.604	0.54
PCI80C50	KL60	lq	PC0871	lasso	inf	4.19	0.62	0.53	0.86	0.6	13	15	0.00516	8.0	7.0	2497.0	5.0	1.0	1.0	0.57	0.57	6.0	4.0	538.0	1.0	1.0	0.99	0.71	0.71	0.0	2166	0.0	inf	0.557	0.6	0.712	0.419	0.56	0.712	0.746	0.8	0.832	0.428	0.55	0.838	0.57
PCI80C80	KL60	lq	PC1055	lasso	inf	6.53	0.55	0.4	0.86	0.6	11	15	0.00437	6.0	9.0	2497.0	5.0	1.0	0.99	0.46	0.46	6.0	4.0	538.0	1.0	1.0	0.99	0.71	0.71	0.0	2240	0.0	inf	0.4	0.525	0.756	0.269	0.38	0.503	0.67	0.775	0.86	0.378	0.5	0.754	0.46
PCI00C50	KL61	lq	PC0374	lasso			0.14	0.21	0.08	0.08	35	24	0.0139	5.0	19.0	2463.0	30.0	0.99	0.98	0.17	0.16	1.0	11.0	526.0	11.0	0.98	0.96	0.08	0.06		1207			0.086	0.14	0.202	0.133	0.21	0.27	0.095	0.11	0.174	0.086	0.115	0.142	0.17
PCI00C80	KL61	lq	PC0430	lasso	inf	2.99	0.24	0.33	0.17	0.33	34	24	0.0135	8.0	16.0	2467.0	26.0	0.99	0.98	0.28	0.27	4.0	8.0	518.0	20.0	0.96	0.95	0.22	0.21	0.0	1481	0.0	inf	0.138	0.21	0.292	0.249	0.32	0.386	0.098	0.16	0.271	0.248	0.315	0.452	0.28
PCI50C50	KL61	lq	PC0505	lasso			0.28	0.38	0.05	0.08	32	24	0.0127	9.0	15.0	2470.0	23.0	0.99	0.98	0.32	0.32	1.0	11.0	519.0	19.0	0.96	0.95	0.06	0.04		1688			0.17	0.295	0.352	0.249	0.37	0.452	0.06	0.07	0.1	0.09	0.11	0.142	0.32
PCI50C80	KL61	lq	PC0497	lasso			0.28	0.38	0.05	0.08	32	24	0.0127	9.0	15.0	2470.0	23.0	0.99	0.98	0.32	0.32	1.0	11.0	519.0	19.0	0.96	0.95	0.06	0.04		1834			0.17	0.3	0.361	0.23	0.38	0.502	0.07	0.075	0.091	0.09	0.11	0.172	0.32
PCI80C50	KL61	lq	PC0651	lasso			0.36	0.38	0.07	0.08	25	24	0.00993	9.0	15.0	2477.0	16.0	0.99	0.99	0.37	0.36	1.0	11.0	525.0	13.0	0.98	0.96	0.07	0.05		2166			0.27	0.36	0.44	0.289	0.36	0.54	0.08	0.1	0.123	0.09	0.12	0.172	0.37
PCI80C80	KL61	lq	PC0666	lasso			0.36	0.38	0.07	0.08	25	24	0.00993	9.0	15.0	2477.0	16.0	0.99	0.99	0.37	0.36	1.0	11.0	525.0	13.0	0.98	0.96	0.07	0.05		2240			0.289	0.36	0.478	0.278	0.4	0.504	0.08	0.1	0.143	0.09	0.12	0.17	0.37
PCI00C50	KL62	lq	PC0380	lasso	inf	4.95	0.83	0.65	0.78	0.54	29	37	0.0115	24.0	13.0	2475.0	5.0	1.0	0.99	0.73	0.73	7.0	6.0	534.0	2.0	1.0	0.99	0.64	0.64	0.0	1207	0.0	inf	0.72	0.815	0.902	0.548	0.62	0.651	0.668	0.75	0.832	0.5	0.59	0.674	0.73
PCI00C80	KL62	lq	PC0619	lasso	inf	1.92	1.0	0.43	1.0	0.23	16	37	0.00636	16.0	21.0	2480.0	0.0	1.0	0.99	0.6	0.65	3.0	10.0	536.0	0.0	1.0	0.98	0.37	0.48	0.0	1481	0.0	inf	1.0	1.0	1.0	0.25	0.42	0.504	1.0	1.0	1.0	0.176	0.25	0.335	0.6
PCI50C50	KL62	lq	PC0400	lasso	inf	6.07	0.88	0.78	0.8	0.62	33	37	0.0131	29.0	8.0	2476.0	4.0	1.0	1.0	0.83	0.83	8.0	5.0	534.0	2.0	1.0	0.99	0.7	0.7	0.0	1688	0.0	inf	0.829	0.865	0.95	0.71	0.8	0.862	0.668	0.8	0.881	0.548	0.685	0.862	0.83
PCI50C80	KL62	lq	PC0711	lasso	inf	0.54	1.0	0.43	1.0	0.23	16	37	0.00636	16.0	21.0	2480.0	0.0	1.0	0.99	0.6	0.65	3.0	10.0	536.0	0.0	1.0	0.98	0.37	0.48	0.0	1834	0.0	inf	1.0	1.0	1.0	0.399	0.445	0.582	1.0	1.0	1.0	0.17	0.25	0.38	0.6
PCI80C50	KL62	lq	PC0573	lasso	inf	6.98	0.89	0.65	0.88	0.54	27	37	0.0107	24.0	13.0	2477.0	3.0	1.0	0.99	0.75	0.76	7.0	6.0	535.0	1.0	1.0	0.99	0.67	0.68	0.0	2166	0.0	inf	0.81	0.88	0.94	0.569	0.65	0.711	0.667	0.86	0.886	0.494	0.585	0.704	0.75
PCI80C80	KL62	lq	PC0951	lasso	inf	0.211	1.0	0.35	1.0	0.15	13	37	0.00516	13.0	24.0	2480.0	0.0	1.0	0.99	0.52	0.59	2.0	11.0	536.0	0.0	1.0	0.98	0.26	0.39	0.0	2240	0.0	inf	1.0	1.0	1.0	0.26	0.37	0.442	1.0	1.0	1.0	0.119	0.2	0.252	0.52
PCI00C50	KL64	lq	PC0152	lasso	inf	3.99	0.34	0.74	0.36	0.89	115	53	0.0457	39.0	14.0	2388.0	76.0	0.97	0.96	0.47	0.48	16.0	2.0	504.0	28.0	0.95	0.95	0.51	0.55	0.0	1207	0.0	inf	0.298	0.35	0.391	0.68	0.73	0.79	0.32	0.36	0.412	0.786	0.87	0.93	0.47
PCI00C80	KL64	lq	PC0144	lasso	inf	2.91	0.21	0.57	0.22	0.78	144	53	0.0572	30.0	23.0	2350.0	114.0	0.95	0.95	0.31	0.32	14.0	4.0	480.0	51.0	0.9	0.9	0.34	0.38	0.0	1481	0.0	inf	0.19	0.215	0.241	0.529	0.57	0.652	0.2	0.215	0.26	0.67	0.725	0.812	0.31
PCI50C50	KL64	lq	PC0264	lasso	inf	4.49	0.53	0.74	0.52	0.89	73	53	0.029	39.0	14.0	2430.0	34.0	0.99	0.98	0.62	0.62	16.0	2.0	516.0	15.0	0.97	0.97	0.66	0.66	0.0	1688	0.0	inf	0.488	0.54	0.643	0.658	0.74	0.852	0.498	0.54	0.623	0.76	0.86	0.921	0.62
PCI50C80	KL64	lq	PC0298	lasso	inf	3.64	0.47	0.57	0.48	0.78	64	53	0.0254	30.0	23.0	2430.0	34.0	0.99	0.98	0.52	0.5	14.0	4.0	516.0	15.0	0.97	0.97	0.59	0.6	0.0	1834	0.0	inf	0.4	0.45	0.501	0.499	0.57	0.632	0.43	0.52	0.592	0.666	0.72	0.822	0.52
PCI80C50	KL64	lq	PC0311	lasso	inf	4.42	0.48	0.6	0.48	0.78	67	53	0.0266	32.0	21.0	2429.0	35.0	0.99	0.98	0.53	0.53	14.0	4.0	516.0	15.0	0.97	0.97	0.59	0.6	0.0	2166	0.0	inf	0.416	0.465	0.511	0.5	0.605	0.71	0.39	0.5	0.572	0.639	0.745	0.801	0.53
PCI80C80	KL64	lq	PC0319	lasso	inf	3.63	0.47	0.57	0.48	0.78	64	53	0.0254	30.0	23.0	2430.0	34.0	0.99	0.98	0.52	0.5	14.0	4.0	516.0	15.0	0.97	0.97	0.59	0.6	0.0	2240	0.0	inf	0.437	0.485	0.551	0.48	0.555	0.662	0.448	0.51	0.62	0.67	0.73	0.813	0.52
PCI00C50	KL7	lq	PC0219	lasso	inf	4.02	0.2	0.64	0.38	0.82	69	22	0.0274	14.0	8.0	2440.0	55.0	0.98	0.97	0.3	0.35	9.0	2.0	523.0	15.0	0.97	0.97	0.52	0.54	0.0	1207	0.0	inf	0.139	0.205	0.28	0.589	0.67	0.781	0.288	0.365	0.472	0.71	0.79	0.905	0.3
PCI00C80	KL7	lq	PC0473	lasso	inf	4.8	0.36	0.45	0.24	0.45	28	22	0.0111	10.0	12.0	2477.0	18.0	0.99	0.99	0.4	0.4	5.0	6.0	522.0	16.0	0.97	0.96	0.31	0.31	0.0	1481	0.0	inf	0.238	0.365	0.426	0.27	0.475	0.583	0.2	0.29	0.362	0.399	0.565	0.716	0.4
PCI50C50	KL7	lq	PC0539	lasso	inf	0.734	0.37	0.45	0.25	0.45	27	22	0.0107	10.0	12.0	2478.0	17.0	0.99	0.99	0.41	0.4	5.0	6.0	523.0	15.0	0.97	0.96	0.32	0.32	0.0	1688	0.0	inf	0.28	0.37	0.464	0.3	0.445	0.551	0.2	0.285	0.361	0.378	0.5	0.572	0.41
PCI50C80	KL7	lq	PC0558	lasso			0.37	0.45	0.25	0.45	27	22	0.0107	10.0	12.0	2478.0	17.0	0.99	0.99	0.41	0.4	5.0	6.0	523.0	15.0	0.97	0.96	0.32	0.32		1834			0.289	0.355	0.47	0.33	0.445	0.531	0.178	0.29	0.363	0.399	0.475	0.622	0.41
PCI80C50	KL7	lq	PC1311	lasso			0.75	0.27	0.67	0.18	8	22	0.00318	6.0	16.0	2493.0	2.0	1.0	0.99	0.4	0.45	2.0	9.0	537.0	1.0	1.0	0.98	0.28	0.34		2166			0.5	0.8	1.0	0.08	0.25	0.401	0.5	0.67	1.0	0.109	0.22	0.33	0.4
PCI80C80	KL7	lq	PC1259	lasso			0.75	0.27	0.67	0.18	8	22	0.00318	6.0	16.0	2493.0	2.0	1.0	0.99	0.4	0.45	2.0	9.0	537.0	1.0	1.0	0.98	0.28	0.34		2240			0.6	0.75	1.0	0.15	0.26	0.381	0.5	0.67	1.0	0.119	0.235	0.334	0.4
PCI00C50	KL8	lq	PC0898	lasso	inf	2.46	0.67	0.11	0.33	0.07	6	35	0.00238	4.0	31.0	2480.0	2.0	1.0	0.99	0.19	0.27	1.0	14.0	532.0	2.0	1.0	0.97	0.12	0.14	0.0	1207	0.0	inf	0.492	0.67	0.81	0.05	0.12	0.18	0.33	0.5	0.525	0.08	0.08	0.09	0.19
PCI00C80	KL8	lq	PC0113	lasso	inf	1.54	0.17	0.8	0.2	0.8	169	35	0.0671	28.0	7.0	2341.0	141.0	0.94	0.94	0.28	0.35	12.0	3.0	488.0	47.0	0.91	0.91	0.32	0.37	0.0	1481	0.0	inf	0.15	0.17	0.21	0.74	0.83	0.893	0.168	0.22	0.242	0.727	0.83	0.92	0.28
PCI50C50	KL8	lq	PC0305	lasso	inf	4.54	0.64	0.8	0.75	0.8	44	35	0.0175	28.0	7.0	2466.0	16.0	0.99	0.99	0.71	0.71	12.0	3.0	530.0	4.0	0.99	0.99	0.77	0.77	0.0	1688	0.0	inf	0.568	0.625	0.742	0.718	0.8	0.881	0.639	0.72	0.802	0.698	0.795	0.853	0.71
PCI50C80	KL8	lq	PC0746	lasso	inf	9.21	0.94	0.43	0.86	0.4	16	35	0.00636	15.0	20.0	2481.0	1.0	1.0	0.99	0.59	0.63	6.0	9.0	533.0	1.0	1.0	0.98	0.55	0.58	0.0	1834	0.0	inf	0.898	0.915	1.0	0.317	0.44	0.504	0.8	0.83	1.0	0.31	0.42	0.462	0.59
PCI80C50	KL8	lq	PC0455	lasso	inf	3.36	0.62	0.69	0.79	0.73	39	35	0.0155	24.0	11.0	2467.0	15.0	0.99	0.99	0.65	0.64	11.0	4.0	531.0	3.0	0.99	0.99	0.76	0.75	0.0	2166	0.0	inf	0.56	0.62	0.674	0.649	0.72	0.781	0.669	0.75	0.822	0.64	0.74	0.915	0.65
PCI80C80	KL8	lq	PC0873	lasso	inf	3.5	0.94	0.43	0.86	0.4	16	35	0.00636	15.0	20.0	2481.0	1.0	1.0	0.99	0.59	0.63	6.0	9.0	533.0	1.0	1.0	0.98	0.55	0.58	0.0	2240	0.0	inf	0.88	0.92	1.0	0.33	0.415	0.522	0.794	0.83	1.0	0.266	0.39	0.503	0.59
