version	locus	quality	PC	mode	minus_log10_pvalue_corr	beta	precision	recall	precision_SC	recall_SC	PC_abundance	locus_abundance	PC_freq	TP	FN	TN	FP	specificity	accuracy	F1_score	MCC	TP_SC	FN_SC	TN_SC	FP_SC	specificity_SC	accuracy_SC	F1_score_SC	MCC_SC	pvalue	n_PC_tested	pvalue_corr	minus_log10_pvalue	precision_CI5_LOWER	precision_MEDIAN	precision_CI95_UPPER	recall_CI5_LOWER	recall_MEDIAN	recall_CI95_UPPER	precision_SC_CI5_LOWER	precision_SC_MEDIAN	precision_SC_CI95_UPPER	recall_SC_CI5_LOWER	recall_SC_MEDIAN	recall_SC_CI95_UPPER	F1_score_num
PCI80C50	KL125	lq	PC0610	lasso	inf	9.07	0.65	0.71	0.62	0.71	23	21	0.00914	15.0	6.0	2488.0	8.0	1.0	0.99	0.68	0.68	10.0	4.0	529.0	6.0	0.99	0.98	0.66	0.66	0.0	2166	0.0	inf	0.53	0.62	0.802	0.579	0.69	0.815	0.536	0.62	0.752	0.595	0.69	0.823	0.68
PCI80C80	KL125	lq	PC0612	lasso	inf	8.18	0.62	0.71	0.59	0.71	24	21	0.00954	15.0	6.0	2487.0	9.0	1.0	0.99	0.66	0.67	10.0	4.0	528.0	7.0	0.99	0.98	0.64	0.64	0.0	2240	0.0	inf	0.47	0.615	0.771	0.576	0.69	0.85	0.428	0.58	0.73	0.592	0.7	0.8	0.66
PCI00C50	KL127	lq	PC0588	lasso	inf	13.1	1.0	0.5	1.0	0.3	13	26	0.00516	13.0	13.0	2491.0	0.0	1.0	0.99	0.67	0.71	3.0	7.0	539.0	0.0	1.0	0.99	0.46	0.54	0.0	1207	0.0	inf	1.0	1.0	1.0	0.328	0.47	0.572	1.0	1.0	1.0	0.17	0.27	0.509	0.67
PCI00C80	KL127	lq	PC0563	lasso	inf	11.5	0.9	0.69	1.0	0.4	20	26	0.00795	18.0	8.0	2489.0	2.0	1.0	1.0	0.78	0.79	4.0	6.0	539.0	0.0	1.0	0.99	0.57	0.63	0.0	1481	0.0	inf	0.78	0.885	1.0	0.558	0.65	0.802	1.0	1.0	1.0	0.25	0.43	0.575	0.78
PCI50C50	KL127	lq	PC0769	lasso	inf	5.85	0.85	0.42	0.5	0.1	13	26	0.00516	11.0	15.0	2489.0	2.0	1.0	0.99	0.56	0.6	1.0	9.0	538.0	1.0	1.0	0.98	0.17	0.22	0.0	1688	0.0	inf	0.819	0.885	1.0	0.385	0.47	0.541	0.5	0.5	1.0	0.11	0.14	0.174	0.56
PCI50C80	KL127	lq	PC0655	lasso	inf	3.78	0.9	0.69	1.0	0.4	20	26	0.00795	18.0	8.0	2489.0	2.0	1.0	1.0	0.78	0.79	4.0	6.0	539.0	0.0	1.0	0.99	0.57	0.63	0.0	1834	0.0	inf	0.829	0.89	1.0	0.599	0.71	0.761	1.0	1.0	1.0	0.38	0.44	0.572	0.78
PCI80C50	KL127	lq	PC0959	lasso	inf	11.4	1.0	0.5	1.0	0.3	13	26	0.00516	13.0	13.0	2491.0	0.0	1.0	0.99	0.67	0.71	3.0	7.0	539.0	0.0	1.0	0.99	0.46	0.54	0.0	2166	0.0	inf	1.0	1.0	1.0	0.31	0.5	0.604	1.0	1.0	1.0	0.14	0.27	0.505	0.67
PCI80C80	KL127	lq	PC0970	lasso	inf	2.99	1.0	0.5	1.0	0.3	13	26	0.00516	13.0	13.0	2491.0	0.0	1.0	0.99	0.67	0.71	3.0	7.0	539.0	0.0	1.0	0.99	0.46	0.54	0.0	2240	0.0	inf	1.0	1.0	1.0	0.38	0.475	0.6	1.0	1.0	1.0	0.139	0.355	0.505	0.67
PCI00C50	KL13	lq	PC0133	lasso	inf	4.34	0.13	0.91	0.46	0.94	161	23	0.064	21.0	2.0	2354.0	140.0	0.94	0.94	0.23	0.33	17.0	1.0	511.0	20.0	0.96	0.96	0.62	0.64	0.0	1207	0.0	inf	0.1	0.13	0.15	0.83	0.925	1.0	0.36	0.415	0.501	0.858	0.92	1.0	0.23
PCI00C80	KL13	lq	PC0138	lasso	inf	4.53	0.13	0.91	0.47	0.94	158	23	0.0628	21.0	2.0	2357.0	137.0	0.95	0.94	0.23	0.34	17.0	1.0	512.0	19.0	0.96	0.96	0.63	0.65	0.0	1481	0.0	inf	0.11	0.13	0.16	0.88	0.93	1.0	0.39	0.44	0.5	0.92	0.93	1.0	0.23
