MGG_K_locus,completeness,total_SCs,KASPAH_REF_SCs,other_SCs
KL57,100,11,1,10
KL57,100,11,1,10
KL57,100,11,1,10
KL57,100,11,1,10
KL57,100,11,1,10
KL57,65.38,11,1,10
KL57,100,11,1,10
KL57,100,11,1,10
KL57,100,11,1,10
KL57,68.49,11,1,10
KL57,100,11,1,10
KL57,100,11,1,10
KL6,100,18,1,17
KL6,100,18,1,17
KL6,100,18,1,17
KL6,69.13,18,1,17
KL6,100,18,1,17
KL6,100,18,1,17
KL6,100,18,1,17
KL6,100,18,1,17
KL6,100,18,1,17
KL6,100,18,1,17
KL6,100,18,1,17
KL6,100,18,1,17
KL6,100,18,1,17
KL6,100,18,1,17
KL6,100,18,1,17
KL6,100,18,1,17
KL6,100,18,1,17
KL6,100,18,1,17
KL6,100,18,1,17
KL6,100,18,1,17
KL6,100,18,1,17
KL6,100,18,1,17
KL6,100,18,1,17
KL6,100,18,1,17
KL6,100,18,1,17
KL6,100,18,1,17
KL6,100,18,1,17
KL6,84.67,18,1,17
KL6,69.75,18,1,17
KL6,65.41,18,1,17
KL6,100,18,1,17
KL6,100,18,1,17
KL6,99.79,18,1,17
KL6,51.54,18,1,17
KL6,100,18,1,17
KL6,63.46,18,1,17
KL6,57.32,18,1,17
KL6,100,18,1,17
KL6,100,18,1,17
KL6,100,18,1,17
KL6,100,18,1,17
KL6,100,18,1,17
KL6,94.65,18,1,17
KL6,86.47,18,1,17
KL6,71.9,18,1,17
KL6,100,18,1,17
KL6,100,18,1,17
KL6,100,18,1,17
KL6,100,18,1,17
KL6,100,18,1,17
KL6,85.33,18,1,17
KL6,70.16,18,1,17
KL6,70.16,18,1,17
KL6,57.27,18,1,17
KL6,55.78,18,1,17
KL6,100,18,1,17
KL6,100,18,1,17
KL6,100,18,1,17
KL6,100,18,1,17
KL6,100,18,1,17
KL6,100,18,1,17
KL6,100,18,1,17
KL6,100,18,1,17
KL60,100,10,1,9
KL60,100,10,1,9
KL60,100,10,1,9
KL60,72.55,10,1,9
KL60,67.89,10,1,9
KL60,60.56,10,1,9
KL60,100,10,1,9
KL60,100,10,1,9
KL60,100,10,1,9
KL60,100,10,1,9
KL60,100,10,1,9
KL60,98.04,10,1,9
KL60,95.37,10,1,9
KL60,62.2,10,1,9
KL60,92.67,10,1,9
KL60,100,10,1,9
KL60,81.01,10,1,9
KL60,70.31,10,1,9
KL60,100,10,1,9
KL60,100,10,1,9
KL60,100,10,1,9
KL60,100,10,1,9
KL60,100,10,1,9
KL60,100,10,1,9
KL60,100,10,1,9
KL60,100,10,1,9
KL60,100,10,1,9
KL60,100,10,1,9
KL60,99.26,10,1,9
KL60,66.79,10,1,9
KL60,65.94,10,1,9
KL60,100,10,1,9
KL60,100,10,1,9
KL60,100,10,1,9
KL60,100,10,1,9
KL60,100,10,1,9
KL60,100,10,1,9
KL60,100,10,1,9
KL60,100,10,1,9
KL60,100,10,1,9
KL60,98.95,10,1,9
KL60,87.32,10,1,9
KL60,74.99,10,1,9
KL60,69.44,10,1,9
KL60,53.47,10,1,9
KL60,50.83,10,1,9
KL60,88.4,10,1,9
KL60,100,10,1,9
KL60,100,10,1,9
KL60,100,10,1,9
KL60,100,10,1,9
KL61,96.15,12,0,12
KL61,77.75,12,0,12
KL61,100,12,0,12
KL61,85.28,12,0,12
KL61,73.03,12,0,12
KL61,57.73,12,0,12
KL61,56.78,12,0,12
KL61,51.88,12,0,12
KL61,100,12,0,12
KL61,85.02,12,0,12
KL61,100,12,0,12
KL61,100,12,0,12
KL61,100,12,0,12
KL61,85.28,12,0,12
KL61,85.28,12,0,12
KL61,85.28,12,0,12
KL61,74.99,12,0,12
KL61,74.99,12,0,12
KL61,72.97,12,0,12
KL61,72.97,12,0,12
KL61,57.76,12,0,12
KL61,57.73,12,0,12
KL61,56.98,12,0,12
KL61,56.86,12,0,12
KL61,56.81,12,0,12
KL61,56.58,12,0,12
KL61,51.88,12,0,12
KL61,51.88,12,0,12
KL61,51.88,12,0,12
KL61,51.88,12,0,12
KL61,100,12,0,12
KL61,100,12,0,12
KL61,100,12,0,12
KL61,100,12,0,12
KL61,100,12,0,12
KL61,69.03,12,0,12
KL61,68.67,12,0,12
KL61,100,12,0,12
KL61,68.52,12,0,12
KL61,100,12,0,12
KL61,85.39,12,0,12
KL61,85.28,12,0,12
KL61,73.05,12,0,12
KL61,73.05,12,0,12
KL61,57.74,12,0,12
KL61,57.73,12,0,12
KL61,56.67,12,0,12
KL61,56.6,12,0,12
KL61,51.88,12,0,12
KL61,51.88,12,0,12
KL61,100,12,0,12
KL61,85.28,12,0,12
KL61,85.28,12,0,12
KL61,73.05,12,0,12
KL61,73.01,12,0,12
KL61,57.74,12,0,12
KL61,56.61,12,0,12
KL61,56.36,12,0,12
KL61,51.88,12,0,12
KL61,51.88,12,0,12
KL61,100,12,0,12
KL61,100,12,0,12
KL61,100,12,0,12
KL61,100,12,0,12
KL61,100,12,0,12
KL61,100,12,0,12
KL61,65.4,12,0,12
KL61,90.92,12,0,12
KL61,100,12,0,12
KL61,100,12,0,12
KL61,100,12,0,12
KL61,100,12,0,12
KL61,100,12,0,12
KL61,100,12,0,12
KL61,77.66,12,0,12
KL61,73.55,12,0,12
KL61,69.95,12,0,12
KL62,100,14,1,13
KL62,100,14,1,13
KL62,100,14,1,13
KL62,100,14,1,13
KL62,100,14,1,13
KL62,100,14,1,13
KL62,100,14,1,13
KL62,95.26,14,1,13
KL62,84.44,14,1,13
KL62,67.34,14,1,13
KL62,65.69,14,1,13
KL62,100,14,1,13
KL62,100,14,1,13
KL62,100,14,1,13
KL62,100,14,1,13
KL62,100,14,1,13
KL62,100,14,1,13
KL62,100,14,1,13
KL62,91.81,14,1,13
KL62,90.25,14,1,13
KL62,83.13,14,1,13
KL62,82.54,14,1,13
KL62,73.01,14,1,13
KL62,67.41,14,1,13
KL62,100,14,1,13
KL62,100,14,1,13
KL62,91.4,14,1,13
KL62,100,14,1,13
KL62,100,14,1,13
KL62,100,14,1,13
KL62,100,14,1,13
KL62,100,14,1,13
