MGG_K_locus,category,count,type,source
KL16,no.pv.kaspah.ref,2,PVs,KASPAH-REF
KL162,no.pv.kaspah.ref,0,PVs,KASPAH-REF
KL164,no.pv.kaspah.ref,0,PVs,KASPAH-REF
KL165,no.pv.kaspah.ref,0,PVs,KASPAH-REF
KL166,no.pv.kaspah.ref,0,PVs,KASPAH-REF
KL167,no.pv.kaspah.ref,0,PVs,KASPAH-REF
KL168,no.pv.kaspah.ref,0,PVs,KASPAH-REF
KL169,no.pv.kaspah.ref,5,PVs,KASPAH-REF
KL17,no.pv.kaspah.ref,0,PVs,KASPAH-REF
KL170,no.pv.kaspah.ref,0,PVs,KASPAH-REF
KL172,no.pv.kaspah.ref,0,PVs,KASPAH-REF
KL173,no.pv.kaspah.ref,0,PVs,KASPAH-REF
KL174,no.pv.kaspah.ref,0,PVs,KASPAH-REF
KL176,no.pv.kaspah.ref,0,PVs,KASPAH-REF
KL178,no.pv.kaspah.ref,0,PVs,KASPAH-REF
KL18,no.pv.kaspah.ref,0,PVs,KASPAH-REF
KL183,no.pv.kaspah.ref,0,PVs,KASPAH-REF
KL19,no.pv.kaspah.ref,0,PVs,KASPAH-REF
KL2,no.pv.kaspah.ref,10,PVs,KASPAH-REF
KL20,no.pv.kaspah.ref,0,PVs,KASPAH-REF
KL21,no.pv.kaspah.ref,5,PVs,KASPAH-REF
KL22,no.pv.kaspah.ref,11,PVs,KASPAH-REF
KL23,no.pv.kaspah.ref,0,PVs,KASPAH-REF
KL24,no.pv.kaspah.ref,8,PVs,KASPAH-REF
KL25,no.pv.kaspah.ref,21,PVs,KASPAH-REF
KL27,no.pv.kaspah.ref,0,PVs,KASPAH-REF
KL28,no.pv.kaspah.ref,22,PVs,KASPAH-REF
KL3,no.pv.kaspah.ref,0,PVs,KASPAH-REF
KL30,no.pv.kaspah.ref,4,PVs,KASPAH-REF
KL31,no.pv.kaspah.ref,0,PVs,KASPAH-REF
KL34,no.pv.kaspah.ref,0,PVs,KASPAH-REF
KL35,no.pv.kaspah.ref,0,PVs,KASPAH-REF
KL36,no.pv.kaspah.ref,7,PVs,KASPAH-REF
KL38,no.pv.kaspah.ref,3,PVs,KASPAH-REF
KL39,no.pv.kaspah.ref,6,PVs,KASPAH-REF
KL4,no.pv.kaspah.ref,13,PVs,KASPAH-REF
KL42,no.pv.kaspah.ref,0,PVs,KASPAH-REF
KL43,no.pv.kaspah.ref,0,PVs,KASPAH-REF
KL45,no.pv.kaspah.ref,0,PVs,KASPAH-REF
KL46,no.pv.kaspah.ref,0,PVs,KASPAH-REF
KL47,no.pv.kaspah.ref,2,PVs,KASPAH-REF
KL48,no.pv.kaspah.ref,0,PVs,KASPAH-REF
KL49,no.pv.kaspah.ref,0,PVs,KASPAH-REF
KL5,no.pv.kaspah.ref,0,PVs,KASPAH-REF
KL51,no.pv.kaspah.ref,0,PVs,KASPAH-REF
KL52,no.pv.kaspah.ref,4,PVs,KASPAH-REF
KL53,no.pv.kaspah.ref,0,PVs,KASPAH-REF
KL54,no.pv.kaspah.ref,3,PVs,KASPAH-REF
KL55,no.pv.kaspah.ref,5,PVs,KASPAH-REF
KL56,no.pv.kaspah.ref,0,PVs,KASPAH-REF
KL57,no.pv.kaspah.ref,6,PVs,KASPAH-REF
KL58,no.pv.kaspah.ref,0,PVs,KASPAH-REF
KL6,no.pv.kaspah.ref,2,PVs,KASPAH-REF
KL60,no.pv.kaspah.ref,5,PVs,KASPAH-REF
KL61,no.pv.kaspah.ref,0,PVs,KASPAH-REF
KL62,no.pv.kaspah.ref,1,PVs,KASPAH-REF
KL63,no.pv.kaspah.ref,10,PVs,KASPAH-REF
KL64,no.pv.kaspah.ref,13,PVs,KASPAH-REF
KL67,no.pv.kaspah.ref,0,PVs,KASPAH-REF
KL7,no.pv.kaspah.ref,3,PVs,KASPAH-REF
KL70,no.pv.kaspah.ref,0,PVs,KASPAH-REF
KL71,no.pv.kaspah.ref,0,PVs,KASPAH-REF
KL74,no.pv.kaspah.ref,0,PVs,KASPAH-REF
KL8,no.pv.kaspah.ref,3,PVs,KASPAH-REF
KL80,no.pv.kaspah.ref,0,PVs,KASPAH-REF
KL81,no.pv.kaspah.ref,0,PVs,KASPAH-REF
KL9,no.pv.kaspah.ref,5,PVs,KASPAH-REF
KL1,no.pv.other,45,PVs,Other
KL10,no.pv.other,69,PVs,Other
KL101,no.pv.other,25,PVs,Other
KL102,no.pv.other,76,PVs,Other
KL103,no.pv.other,31,PVs,Other
KL104,no.pv.other,4,PVs,Other
KL105,no.pv.other,12,PVs,Other
KL106,no.pv.other,20,PVs,Other
KL107,no.pv.other,33,PVs,Other
KL108,no.pv.other,18,PVs,Other
KL109,no.pv.other,12,PVs,Other
KL11,no.pv.other,39,PVs,Other
KL110,no.pv.other,10,PVs,Other
KL111,no.pv.other,62,PVs,Other
KL112,no.pv.other,9,PVs,Other
KL113,no.pv.other,36,PVs,Other
KL114,no.pv.other,30,PVs,Other
KL115,no.pv.other,11,PVs,Other
KL116,no.pv.other,30,PVs,Other
KL117,no.pv.other,33,PVs,Other
KL118,no.pv.other,18,PVs,Other
KL119,no.pv.other,49,PVs,Other
KL12,no.pv.other,36,PVs,Other
KL120,no.pv.other,8,PVs,Other
KL121,no.pv.other,17,PVs,Other
KL122,no.pv.other,50,PVs,Other
KL123,no.pv.other,30,PVs,Other
KL124,no.pv.other,12,PVs,Other
KL125,no.pv.other,49,PVs,Other
KL126,no.pv.other,17,PVs,Other
KL127,no.pv.other,29,PVs,Other
